Div,HomeTeam,AwayTeam,FTHG,FTAG
E0,Blackburn,Wolves,1,2
E0,Fulham,Aston Villa,0,0
E0,Liverpool,Sunderland,1,1
E0,Newcastle,Arsenal,0,0
E0,QPR,Bolton,0,4
E0,Wigan,Norwich,1,1
E0,Stoke,Chelsea,0,0
E0,West Brom,Man United,1,2
E0,Man City,Swansea,4,0
E0,Arsenal,Liverpool,0,2
E0,Aston Villa,Blackburn,3,1
E0,Chelsea,West Brom,2,1
E0,Everton,QPR,0,1
E0,Sunderland,Newcastle,0,1
E0,Swansea,Wigan,0,0
E0,Bolton,Man City,2,3
E0,Norwich,Stoke,1,1
E0,Wolves,Fulham,2,0
E0,Man United,Tottenham,3,0
E0,Aston Villa,Wolves,0,0
E0,Blackburn,Everton,0,1
E0,Chelsea,Norwich,3,1
E0,Liverpool,Bolton,3,1
E0,Swansea,Sunderland,0,0
E0,Wigan,QPR,2,0
E0,Man United,Arsenal,8,2
E0,Newcastle,Fulham,2,1
E0,Tottenham,Man City,1,5
E0,West Brom,Stoke,0,1
E0,Arsenal,Swansea,1,0
E0,Bolton,Man United,0,5
E0,Everton,Aston Villa,2,2
E0,Man City,Wigan,3,0
E0,Stoke,Liverpool,1,0
E0,Sunderland,Chelsea,1,2
E0,Wolves,Tottenham,0,2
E0,Fulham,Blackburn,1,1
E0,Norwich,West Brom,0,1
E0,QPR,Newcastle,0,0
E0,Aston Villa,Newcastle,1,1
E0,Blackburn,Arsenal,4,3
E0,Bolton,Norwich,1,2
E0,Everton,Wigan,3,1
E0,Swansea,West Brom,3,0
E0,Wolves,QPR,0,3
E0,Fulham,Man City,2,2
E0,Man United,Chelsea,3,1
E0,Sunderland,Stoke,4,0
E0,Tottenham,Liverpool,4,0
E0,Arsenal,Bolton,3,0
E0,Chelsea,Swansea,4,1
E0,Liverpool,Wolves,2,1
E0,Man City,Everton,2,0
E0,Newcastle,Blackburn,3,1
E0,Stoke,Man United,1,1
E0,West Brom,Fulham,0,0
E0,Wigan,Tottenham,1,2
E0,QPR,Aston Villa,1,1
E0,Norwich,Sunderland,2,1
E0,Aston Villa,Wigan,2,0
E0,Blackburn,Man City,0,4
E0,Everton,Liverpool,0,2
E0,Man United,Norwich,2,0
E0,Sunderland,West Brom,2,2
E0,Wolves,Newcastle,1,2
E0,Bolton,Chelsea,1,5
E0,Fulham,QPR,6,0
E0,Swansea,Stoke,2,0
E0,Tottenham,Arsenal,2,1
E0,Chelsea,Everton,3,1
E0,Liverpool,Man United,1,1
E0,Man City,Aston Villa,4,1
E0,Norwich,Swansea,3,1
E0,QPR,Blackburn,1,1
E0,Stoke,Fulham,2,0
E0,Wigan,Bolton,1,3
E0,Arsenal,Sunderland,2,1
E0,Newcastle,Tottenham,2,2
E0,West Brom,Wolves,2,0
E0,Aston Villa,West Brom,1,2
E0,Bolton,Sunderland,0,2
E0,Liverpool,Norwich,1,1
E0,Newcastle,Wigan,1,0
E0,Wolves,Swansea,2,2
E0,Arsenal,Stoke,3,1
E0,Blackburn,Tottenham,1,2
E0,Fulham,Everton,1,3
E0,Man United,Man City,1,6
E0,QPR,Chelsea,1,0
E0,Chelsea,Arsenal,3,5
E0,Everton,Man United,0,1
E0,Man City,Wolves,3,1
E0,Norwich,Blackburn,3,3
E0,Sunderland,Aston Villa,2,2
E0,Swansea,Bolton,3,1
E0,West Brom,Liverpool,0,2
E0,Wigan,Fulham,0,2
E0,Tottenham,QPR,3,1
E0,Stoke,Newcastle,1,3
E0,Arsenal,West Brom,3,0
E0,Aston Villa,Norwich,3,2
E0,Blackburn,Chelsea,0,1
E0,Liverpool,Swansea,0,0
E0,Man United,Sunderland,1,0
E0,Newcastle,Everton,2,1
E0,QPR,Man City,2,3
E0,Bolton,Stoke,5,0
E0,Fulham,Tottenham,1,3
E0,Wolves,Wigan,3,1
E0,Everton,Wolves,2,1
E0,Man City,Newcastle,3,1
E0,Norwich,Arsenal,1,2
E0,Stoke,QPR,2,3
E0,Sunderland,Fulham,0,0
E0,Swansea,Man United,0,1
E0,West Brom,Bolton,2,1
E0,Wigan,Blackburn,3,3
E0,Chelsea,Liverpool,1,2
E0,Tottenham,Aston Villa,2,0
E0,Arsenal,Fulham,1,1
E0,Bolton,Everton,0,2
E0,Chelsea,Wolves,3,0
E0,Man United,Newcastle,1,1
